url,prix_tnd,nom,marque,ram_go,stockage_go,cpu_serie,os_platform,has_5g,has_wifi
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-a100-intel-n100-16g-256g-ssd-gris.html,1749.0,PC de Bureau ALL IN ONE LENOVO A100 Intel N100 16G 256G SSD - Gris,LENOVO,16.0,256.0,0.0,Windows 11 Pro,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50t-gen-5-i3-13e-gen-8go-512g-ssd.html,1749.0,PC de Bureau LENOVO ThinkCentre néo 50T Gen 5 i3 14e Gén 8Go 512G SSD,LENOVO,8.0,512.0,3.0,Windows 11 Pro,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50q-gen-5-intel-core-5-210h-8g-512g-ssd.html,1939.0,PC de Bureau LENOVO ThinkCentre néo 50Q Gen 5 Intel Core 5 210H 8G 512G SSD,LENOVO,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50q-gen-5-i3-13e-gen-16go-512go-ssd.html,1965.0,PC de Bureau LENOVO ThinkCentre néo 50q Gen 5 i3 13è Gén 16Go 512Go SSD,LENOVO,16.0,512.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50q-gen-6-ultra-5-226v-16g-512g-ssd.html,2109.0,PC de Bureau LENOVO ThinkCentre néo 50q Gen 6 Ultra 5 226V 16G 512G SSD,LENOVO,16.0,512.0,0.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50q-gen-6-ultra-5-226v-16go-512g-ssd.html,2149.0,PC de Bureau LENOVO ThinkCentre néo 50q Gen 6 Ultra 5 226V 16Go 512G SSD,LENOVO,16.0,512.0,0.0,Windows 11 Pro,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50t-gen-5-i5-14e-gen-8g-512go-ssd.html,2159.0,PC de Bureau LENOVO ThinkCentre néo 50t Gen 5 i5 14è Gén 8G 512Go SSD,LENOVO,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50q-gen-5-i3-13e-gen-24go-512go-ssd.html,2369.0,PC de Bureau LENOVO ThinkCentre néo 50q Gen 5 i3 13è Gén 24Go 512Go SSD,LENOVO,24.0,512.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-thinkcentre-neo-50a-24-gen5-i3-13e-gen-8g-512g-ssd.html,2465.0,PC de Bureau ALL IN ONE LENOVO ThinkCentre neo 50a 24 Gen5 i3 13è Gén 8G 512G SSD,LENOVO,8.0,512.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50t-gen-5-i7-14e-gen-8go-512go-ssd.html,2519.0,PC de Bureau LENOVO ThinkCentre néo 50t Gen 5 i7 14è Gén 8Go 512Go SSD,LENOVO,8.0,512.0,7.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-ideacentre-aio-24irh9-i5-13e-gen-8g-512g-ssd-gris.html,2589.0,PC de Bureau ALL IN ONE LENOVO IdeaCentre AIO 24IRH9 i5 13è Gén 8G 512G SSD - Gris,LENOVO,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50q-gen-5-i3-13e-gen-32go-512go-ssd.html,2789.0,PC de Bureau LENOVO ThinkCentre néo 50q Gen 5 i3 13è Gén 32Go 512Go SSD,LENOVO,32.0,512.0,3.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-all-in-one-lenovo-ideacentre-aio-27irh9-i5-13e-gen-8g-512g-ssd.html,2799.0,PC de Bureau ALL IN ONE LENOVO IdeaCentre AIO 27IRH9 i5 13è Gén 8G 512G SSD,LENOVO,8.0,512.0,5.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50t-gen-5-i7-14e-gen-16go-512go-ssd.html,2919.0,PC de Bureau LENOVO ThinkCentre néo 50t Gen 5 i7 14è Gén 16Go 512Go SSD,LENOVO,16.0,512.0,7.0,FreeDos,0,1
https://www.mytek.tn/pc-de-bureau-lenovo-thinkcentre-neo-50t-gen-5-i7-14e-gen-16g-512go-ssd.html,2969.0,PC de Bureau LENOVO ThinkCentre néo 50t Gen 5 i7 14è Gén 16G 512Go SSD,LENOVO,16.0,512.0,7.0,Windows 11 Pro,0,1
