nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth
Téléphone Portable SMARTEC V2 - Blanc,https://www.mytek.tn/telephone-portable-smartec-v2-blanc.html,39.0,SMARTEC,0.03125,181.0,2.0,Inconnu,1
Téléphone Portable SMARTEC V2 - Rose,https://www.mytek.tn/telephone-portable-smartec-v2-rose.html,39.0,SMARTEC,0.03125,181.0,2.0,Inconnu,1
Téléphone Portable SMARTEC F1 FLIP - Noir,https://www.mytek.tn/telephone-portable-smartec-f1-flip-noir.html,85.0,SMARTEC,51.21875,16.0,2.4,Inconnu,0
Téléphone Portable SMARTEC F1 FLIP - Bleu,https://www.mytek.tn/telephone-portable-smartec-f1-flip-bleu.html,85.0,SMARTEC,51.21875,16.0,2.4,Autres,0
Téléphone Portable SMARTEC F1 FLIP - Gris,https://www.mytek.tn/telephone-portable-smartec-f1-flip-gris.html,85.0,SMARTEC,51.21875,16.0,2.4,Autres,0
Téléphone Portable SMARTEC F1 FLIP - Rouge,https://www.mytek.tn/telephone-portable-smartec-f1-flip-rouge.html,85.0,SMARTEC,51.21875,16.0,2.4,Inconnu,0
TÉLÉPHONE PORTABLE UNIWA E1803 -NOIR,https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0
TÉLÉPHONE PORTABLE UNIWA E1803 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0
TÉLÉPHONE PORTABLE UNIWA E1803 - Gris,https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0
TÉLÉPHONE PORTABLE UNIWA E1803 - ice bleu,https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0
Téléphone Portable UNIWA E1801 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,37.9,UNIWA,0.03125,181.0,1.77,Inconnu,0
Téléphone Portable UNIWA E1801 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,37.9,UNIWA,0.03125,181.0,1.77,Autres,0
Téléphone Portable UNIWA E1802 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1802-rouge.html,49.0,UNIWA,51.21875,16.0,2.4,Autres,0
Téléphone Portable UNIWA E1802 - Gold,https://www.mytek.tn/telephone-portable-uniwa-e1802-gold.html,49.0,UNIWA,51.21875,16.0,2.4,Autres,0
Téléphone Portable UNIWA E1802 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1802-bleu.html,49.0,UNIWA,51.21875,16.0,2.4,Autres,0
