nom,url,prix_tnd,marque,taille_ecran,resolution_affichage,technologie_dalle,hdr,smart_tv,taux_rafraichissement,os_platform,has_4g,has_wifi6,has_wifi,has_bluetooth,has_ethernet
"Téléviseur TELEFUNKEN 75"" Mini LED X6F 4K Google TV Matte Screen",https://www.mytek.tn/televiseur-telefunken-75-mini-led-x6f-4k-google-tv-matte-screen.html,3529.0,TELEFUNKEN,75.0,4K,Mini-LED,True,True,103.6,Google TV,0,0,1,0,1
"TV TELEFUNKEN 85"" QLED 4K G4FN Smart Google TV avec Récepteur Intégré",https://www.mytek.tn/tv-telefunken-85-qled-4k-g4fn-smart-google-tv-avec-recepteur-integre.html,5779.0,TELEFUNKEN,85.0,4K,QLED,True,True,88.8,Google TV,0,0,1,1,1
"TV TELEFUNKEN A4F 100"" QLED 4K Smart Google TV Matte screen - Noir",https://www.mytek.tn/tv-telefunken-a4f-100-qled-4k-smart-google-tv-matte-screen-noir.html,9529.0,TELEFUNKEN,100.0,4K,QLED,True,True,144.0,Google TV,0,0,1,1,1
"TV Thomson 43"" 43UG5C14 4K UHD Side Feet Google Tv - Noir",https://www.mytek.tn/tv-thomson-43-43ug5c14-4k-uhd-side-feet-google-tv-noir.html,1149.0,THOMSON,43.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
"TV Thomson 43"" 43QG5C14 QLED UHD 4K  Google Tv - Gris foncé",https://www.mytek.tn/tv-thomson-43-43qg5c14-qled-uhd-4k-google-tv-noir.html,1299.0,THOMSON,43.0,4K,QLED,True,True,60.0,Google TV,0,0,1,0,1
"TV Thomson 43"" 43QG6C14 QLED Plus Google Tv - Noir",https://www.mytek.tn/tv-thomson-43-43qg6c14-qled-plus-google-tv-noir.html,1649.0,THOMSON,43.0,4K,QLED,True,True,60.0,Google TV,0,0,1,0,1
TV THOMSON 50QG7C14 UHD 4K  50″ GOOGLE TV QLED PRO – NOIR,https://www.mytek.tn/tv-thomson-50qg7c14-uhd-4k-50-google-tv-qled-pro-noir.html,1899.0,THOMSON,50.0,4K,QLED,True,True,144.0,Google TV,0,0,1,1,1
"TV Thomson 55"" 55QG7C14 QLED Pro Google Tv - Noir",https://www.mytek.tn/tv-thomson-55-55qg7c14-qled-pro-google-tv-noir.html,2049.0,THOMSON,55.0,4K,QLED,True,True,144.0,Google TV,0,0,1,1,1
TV THOMSON 55QG6C14 55″ GOOGLE TV QLED PLUS - Noir,https://www.mytek.tn/tv-thomson-55qg6c14-55-google-tv-qled-plus-noir.html,2049.0,THOMSON,55.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
"TV Thomson 65"" 65UG4S14 4K UHD Side Feet Google Tv - Noir",https://www.mytek.tn/tv-thomson-65-65ug4s14-4k-uhd-side-feet-google-tv-noir.html,2339.0,THOMSON,65.0,4K,QLED,True,True,60.0,Google TV,0,0,1,1,1
