nom,url,prix_tnd,marque,ram_go,stockage_go,taille_ecran,os_platform,has_bluetooth,semaine,gamme_prix,cluster_id,cluster_direct
Téléphone Portable Clever C4 - Purple,https://www.mytek.tn/telephone-portable-clever-c4-purple.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,4,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Vert,https://www.mytek.tn/telephone-portable-clever-c4-vert.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,4,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever C4 - Bleu,https://www.mytek.tn/telephone-portable-clever-c4-bleu.html,32.9,CLEVER,16.0,19.2,1.77,Sans Système,1,4,Économique,CLEVER::Économique::c1,0
Téléphone Portable Clever F10 - Noir,https://www.mytek.tn/telephone-portable-clever-f10-noir.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,4,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Rose,https://www.mytek.tn/telephone-portable-clever-f10-rose.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,4,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Vert,https://www.mytek.tn/telephone-portable-clever-f10-vert.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,4,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Violet,https://www.mytek.tn/telephone-portable-clever-f10-violet.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,4,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Blanc,https://www.mytek.tn/telephone-portable-clever-f10-blanc.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,4,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Gold,https://www.mytek.tn/telephone-portable-clever-f10-gold.html,89.0,CLEVER,51.215625,16.0,2.4,Sans Système,0,4,Économique,CLEVER::Économique::c0,3
Téléphone Portable Clever F10 - Bleu,https://www.mytek.tn/telephone-portable-clever-f10-bleu.html,89.0,CLEVER,256.0,16.0,2.4,Sans Système,0,4,Économique,CLEVER::Économique::c0,3
TÉLÉPHONE PORTABLE UNIWA E1803 - ice bleu,https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0,1,Économique,UNIWA::Économique::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 -NOIR,https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0,1,Économique,UNIWA::Économique::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 - Gris,https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0,1,Économique,UNIWA::Économique::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,36.9,UNIWA,16.0,32.0,1.77,Autres,0,1,Économique,UNIWA::Économique::c0,2
Téléphone Portable UNIWA E1801 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,37.9,UNIWA,16.0,32.0,1.77,Autres,0,1,Économique,UNIWA::Économique::c0,2
Téléphone Portable UNIWA E1801 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,37.9,UNIWA,0.03125,32.0,1.77,Inconnu,0,1,Économique,UNIWA::Économique::c0,4
Téléphone Portable UNIWA E1802 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1802-rouge.html,49.0,UNIWA,0.02421875,32.0,2.4,Autres,0,1,Milieu de gamme,UNIWA::Milieu de gamme::c0,2
Téléphone Portable UNIWA E1802 - Gold,https://www.mytek.tn/telephone-portable-uniwa-e1802-gold.html,49.0,UNIWA,0.02421875,32.0,2.4,Autres,0,1,Milieu de gamme,UNIWA::Milieu de gamme::c0,2
Téléphone Portable UNIWA E1802 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1802-bleu.html,49.0,UNIWA,0.02421875,32.0,2.4,Autres,0,1,Milieu de gamme,UNIWA::Milieu de gamme::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 -NOIR,https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0,2,Économique,UNIWA::Économique::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0,2,Économique,UNIWA::Économique::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 - Gris,https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0,2,Économique,UNIWA::Économique::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 - ice bleu,https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,36.9,UNIWA,16.0,16.0,1.77,Autres,0,2,Économique,UNIWA::Économique::c0,2
Téléphone Portable UNIWA E1801 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,37.9,UNIWA,0.03125,181.0,1.77,Inconnu,0,2,Économique,UNIWA::Économique::c0,4
Téléphone Portable UNIWA E1801 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,37.9,UNIWA,0.03125,181.0,1.77,Autres,0,2,Économique,UNIWA::Économique::c0,2
Téléphone Portable UNIWA E1802 - Rouge,https://www.mytek.tn/telephone-portable-uniwa-e1802-rouge.html,49.0,UNIWA,51.21875,16.0,2.4,Autres,0,2,Milieu de gamme,UNIWA::Milieu de gamme::c0,2
Téléphone Portable UNIWA E1802 - Gold,https://www.mytek.tn/telephone-portable-uniwa-e1802-gold.html,49.0,UNIWA,51.21875,16.0,2.4,Autres,0,2,Milieu de gamme,UNIWA::Milieu de gamme::c0,2
Téléphone Portable UNIWA E1802 - Bleu,https://www.mytek.tn/telephone-portable-uniwa-e1802-bleu.html,49.0,UNIWA,51.21875,16.0,2.4,Autres,0,2,Milieu de gamme,UNIWA::Milieu de gamme::c0,2
TÉLÉPHONE PORTABLE UNIWA E1803 -NOIR,https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,36.9,UNIWA,16.0,19.2,1.77,Autres,0,3,Économique,UNIWA::Économique::c0,2
