categorie,marque,gamme,cluster,semaine,moyenne_geometrique,moyenne_estimee_ridge,moyenne_estimee_hedonic,moyenne_estimee_rf,erreur_ridge_pct,erreur_hedonic_pct,erreur_rf_pct,n_produits,source_ridge,source_hedonic,source_rf
pc_portables,DELL,Économique,c1,4,1721.98,1697.09,1836.47,1702.74,-1.45,6.65,-1.12,9,n2,n1,n2
pc_portables,DELL,Économique,c2,1,1622.86,1720.79,1683.24,1622.31,6.03,3.72,-0.03,7,n1,n1,n1
pc_portables,DELL,Économique,c2,2,1622.86,1720.79,1683.24,1622.31,6.03,3.72,-0.03,7,n1,n1,n1
pc_portables,DELL,Économique,c2,3,1622.86,1720.79,1683.24,1622.31,6.03,3.72,-0.03,7,n1,n1,n1
pc_portables,DELL,Économique,c2,4,1622.86,1720.79,1683.24,1622.31,6.03,3.72,-0.03,7,n1,n1,n1
pc_portables,GIGABYTE,Milieu de gamme,c0,1,5018.95,4803.24,4890.48,5025.4,-4.3,-2.56,0.13,7,n1,n1,n1
pc_portables,GIGABYTE,Milieu de gamme,c0,2,5018.95,4803.24,4890.48,5025.4,-4.3,-2.56,0.13,7,n1,n1,n1
pc_portables,GIGABYTE,Milieu de gamme,c0,3,5131.62,4803.24,4890.48,5025.4,-6.4,-4.7,-2.07,7,n1,n1,n1
pc_portables,GIGABYTE,Milieu de gamme,c0,4,5131.62,4803.24,4890.48,5025.4,-6.4,-4.7,-2.07,7,n1,n1,n1
pc_portables,GIGABYTE,Premium,c0,1,8447.78,7242.02,8008.09,6340.09,-14.27,-5.2,-24.95,7,n1,n1,categorie
pc_portables,GIGABYTE,Premium,c0,2,8447.78,7242.02,8008.09,6340.09,-14.27,-5.2,-24.95,7,n1,n1,categorie
pc_portables,GIGABYTE,Premium,c0,3,8447.78,7242.02,8008.09,6340.09,-14.27,-5.2,-24.95,7,n1,n1,categorie
pc_portables,GIGABYTE,Premium,c0,4,8447.78,7242.02,8008.09,6340.09,-14.27,-5.2,-24.95,7,n1,n1,categorie
pc_portables,GIGABYTE,Économique,c0,1,4242.82,4577.21,4506.06,4442.78,7.88,6.2,4.71,8,n1,n1,n1
pc_portables,GIGABYTE,Économique,c0,2,4242.82,4577.21,4506.06,4442.78,7.88,6.2,4.71,8,n1,n1,n1
pc_portables,GIGABYTE,Économique,c0,3,4194.25,4610.53,4541.64,4466.2,9.93,8.28,6.48,7,n1,n1,n1
pc_portables,GIGABYTE,Économique,c0,4,4194.25,4610.53,4541.64,4466.2,9.93,8.28,6.48,7,n1,n1,n1
pc_portables,HP,Milieu de gamme,c0,1,2744.61,2768.18,2766.89,2610.87,0.86,0.81,-4.87,29,n1,n1,n1
pc_portables,HP,Milieu de gamme,c0,2,2744.61,2768.18,2766.89,2610.87,0.86,0.81,-4.87,29,n1,n1,n1
pc_portables,HP,Milieu de gamme,c0,3,2744.77,2705.05,2703.46,2580.31,-1.45,-1.51,-5.99,25,n1,n1,n1
pc_portables,HP,Milieu de gamme,c0,4,2744.77,2705.05,2703.46,2580.31,-1.45,-1.51,-5.99,25,n1,n1,n1
pc_portables,HP,Premium,c0,1,3458.19,3441.88,3027.31,3493.86,-0.47,-12.46,1.03,9,n2,n1,n2
pc_portables,HP,Premium,c0,2,3458.19,3441.88,3027.31,3493.86,-0.47,-12.46,1.03,9,n2,n1,n2
pc_portables,HP,Premium,c0,3,3458.19,3441.88,3027.31,3493.86,-0.47,-12.46,1.03,9,n2,n1,n2
pc_portables,HP,Premium,c0,4,3458.19,3441.88,3027.31,3493.86,-0.47,-12.46,1.03,9,n2,n1,n2
pc_portables,HP,Premium,c1,1,4271.14,3951.74,4017.31,4269.26,-7.48,-5.94,-0.04,15,n1,n1,n1
pc_portables,HP,Premium,c1,2,4271.14,3951.74,4017.31,4269.26,-7.48,-5.94,-0.04,15,n1,n1,n1
pc_portables,HP,Premium,c1,3,4410.0,4123.77,4198.55,4290.66,-6.49,-4.79,-2.71,10,n1,n1,n1
pc_portables,HP,Premium,c1,4,4410.0,4123.77,4198.55,4290.66,-6.49,-4.79,-2.71,10,n1,n1,n1
pc_portables,HP,Premium,c2,1,3797.31,2900.48,2893.29,3419.64,-23.62,-23.81,-9.95,6,n1,n1,n1
pc_portables,HP,Premium,c2,2,3797.31,2900.48,2893.29,3419.64,-23.62,-23.81,-9.95,6,n1,n1,n1
pc_portables,HP,Premium,c2,3,3822.25,2870.41,2858.69,3354.72,-24.9,-25.21,-12.23,5,n1,n1,n1
pc_portables,HP,Premium,c2,4,3822.25,2870.41,2858.69,3354.72,-24.9,-25.21,-12.23,5,n1,n1,n1
pc_portables,HP,Économique,c0,1,1839.33,2112.42,2016.69,1780.64,14.85,9.64,-3.19,15,n1,n1,n2
pc_portables,HP,Économique,c0,2,1827.34,2112.42,2016.69,1780.64,15.6,10.36,-2.56,15,n1,n1,n2
pc_portables,HP,Économique,c0,3,1840.33,2129.73,2036.46,1776.73,15.73,10.66,-3.46,14,n1,n1,n2
pc_portables,HP,Économique,c0,4,1824.36,2112.42,2016.69,1780.64,15.79,10.54,-2.4,15,n1,n1,n2
pc_portables,HP,Économique,c1,1,1855.21,1878.66,1846.06,1863.08,1.26,-0.49,0.42,6,n1,n1,n1
pc_portables,HP,Économique,c1,2,1855.21,1878.66,1846.06,1863.08,1.26,-0.49,0.42,6,n1,n1,n1
pc_portables,HP,Économique,c1,3,1855.21,1878.66,1846.06,1863.08,1.26,-0.49,0.42,6,n1,n1,n1
